2023;22;2023.06.04;0;0Ft;33;395285Ft;1553;8400Ft;27082;2670Ft;8;20;25;28;35;45
2023;21;2023.05.28;0;0Ft;29;434445Ft;1459;8635Ft;26156;2670Ft;11;14;21;22;34;40
2023;20;2023.05.21;0;0Ft;42;309490Ft;1795;7240Ft;31694;2270Ft;3;4;8;21;22;29
2023;19;2023.05.14;0;0Ft;50;270890Ft;2155;6285Ft;35410;2120Ft;2;9;10;19;22;26
2023;18;2023.05.07;0;0Ft;33;377965Ft;1614;7730Ft;26359;2620Ft;10;13;15;31;36;42
2023;17;2023.04.30;1;426667315Ft;62;227260Ft;2638;5340Ft;39550;1975Ft;4;14;19;23;27;42
2023;16;2023.04.23;0;0Ft;47;291140Ft;2274;6015Ft;32859;2305Ft;19;28;31;33;37;43
2023;15;2023.04.16;0;0Ft;33;414280Ft;1912;7150Ft;32866;2305Ft;6;23;26;27;34;37
2023;14;2023.04.09;0;0Ft;22;587915Ft;1348;9595Ft;24503;2925Ft;17;23;35;36;37;43
2023;13;2023.04.02;1;99780620Ft;53;239945Ft;2234;5695Ft;33944;2075Ft;9;18;25;29;33;40
2023;12;2023.03.26;1;549872735Ft;63;220185Ft;2541;5460Ft;36395;2110Ft;4;7;16;26;28;37
2023;11;2023.03.19;0;0Ft;50;279265Ft;2252;6200Ft;35670;2170Ft;1;4;14;19;25;31
2023;10;2023.03.12;0;0Ft;32;461330Ft;2051;7200Ft;36404;2245Ft;13;14;16;22;27;33
2023;9;2023.03.05;0;0Ft;47;294335Ft;1659;8340Ft;30599;2505Ft;17;18;30;32;34;35
2023;8;2023.02.26;0;0Ft;15;892525Ft;1101;12160Ft;22031;3270Ft;10;12;14;29;36;37
2023;7;2023.02.19;1;621747605Ft;88;155610Ft;2927;4680Ft;40891;1955Ft;3;7;15;19;32;40
2023;6;2023.02.12;0;0Ft;54;266535Ft;2252;6390Ft;35496;2300Ft;5;18;21;26;37;44
2023;5;2023.02.05;0;0Ft;55;248570Ft;2172;6295Ft;33330;2290Ft;13;20;24;26;38;42
2023;4;2023.01.29;0;0Ft;60;221235Ft;2329;5700Ft;34522;2085Ft;1;3;17;26;40;45
2023;3;2023.01.22;0;0Ft;38;350420Ft;1899;7010Ft;32861;2160Ft;2;11;12;17;37;44
