9;0;6;0;-1;9;-5
-5;10;-2;24;21;3;27
24;-7;27;-7;13;3;14
-9;21;22;-9;32;30;13
-7;33;27;9;-10;31;5
13;9;33;17;33;16;12
11;4;27;2;-5;24;10
33;34;4;30;14;-10;16
34;24;2;32;29;-5;0
8;21;24;1;16;11;16
24;-10;1;-1;15;2;7
14;-7;-1;13;15;29;4
33;12;13;16;-2;-10;7
1;-6;12;23;28;3;-9
0;24;28;-9;29;17;13
20;14;13;29;26;15;25
24;6;29;24;4;12;31
5;9;-7;-1;22;27;23
3;35;23;32;25;22;-1
8;-9;28;30;20;1;18
12;34;21;5;20;-6;-4
-4;26;11;22;29;-3;7
-4;23;17;-5;35;21;5
32;3;-10;27;32;22;33
35;14;3;5;26;3;-2
-8;31;-6;22;11;25;-2
1;33;22;21;-7;-3;21
-2;19;34;33;0;3;19
7;27;8;13;8;34;20
18;16;0;3;10;-5;24
2;10;15;-1;5;-4;4
15;-6;26;28;19;20;13
-7;-1;11;10;8;10;5
1;-2;11;23;-8;17;11
5;7;-10;10;15;-3;32
21;3;0;-5;-2;-10;5
10;3;19;27;12;3;23
35;28;17;20;-10;-9;21
34;-2;17;19;2;2;29
21;-9;22;23;15;-2;8
1;28;20;-3;8;12;10
19;8;10;11;12;20;8
9;-5;24;20;6;28;11
-3;-6;19;15;35;12;30
18;13;3;33;2;27;-4
13;15;11;29;24;27;10
33;31;-1;3;3;-7;26
16;22;2;-9;6;-4;12
14;33;-3;-5;-5;9;14
12;-7;28;5;0;-4;24
26;18;16;-1;8;-7;3
31;7;-7;35;-10;-5;-1
